"","OMIMId","DLncs","DGenes","DGenNum","DLncNum","OMIMName"
"1",109800,"H19;MALAT1;MEG3;SNHG16;TUG1;UCA1;XIST","HRAS;FGFR3;RB1",3,7,"BLADDER CANCER"
"2",114480,"BCYRN1;CDKN2B-AS1;GAS5;H19;HOTAIR;MIR31HG;MALAT1;MEG3;PVT1;UCA1;XIST","BRCA2;PALB2;NBN;PIK3CA;RAD51;AKT1;CHEK2;XRCC3;BRCA1;BRIP1;FAM175A",11,11,"BREAST CANCER"
"3",114500,"CCAT1;CRNDE;H19;HOTAIR;HULC;MALAT1;MEG3;SNHG16","SMAD4;WRN;MLH3;PIK3CA;EPHA3;ALOX12;BRAF;AKT1;RET;SMAD3;GNAS;AXIN2;CTNNB1;NF1;RUNX1T1",15,8,"COLORECTAL CANCER"
"4",114550,"BOK-AS1;CDKN2B-AS1;GAS5;H19;HOTAIR;HOTTIP;HULC;IGF2-AS;MALAT1;MEG3;MIAT;MIR7-3HG;XIST","MET;AXIN1;MTUS1;PIK3CA;CDKN3;APC",6,13,"HEPATOCELLULAR CARCINOMA"
"5",133239,"CBR3-AS1;CDKN2B-AS1;H19;HOTAIR;SOX2-OT","LZTS1;ALOX12;WWOX;TP53;TGFBR2",5,5,"ESOPHAGEAL CANCER"
"6",137800,"ADAMTS9-AS2;CCDC26;CDKN2B-AS1;H19;MEG3","ERBB2;PTEN;PPARG;IDH1;DMBT1",5,5,"GLIOMA SUSCEPTIBILITY 1"
"7",144700,"GAS5;H19;HIF1A-AS1;HIF1A-AS2;MALAT1;MEG3;PVT1","SETD2;PBRM1;VHL;OGG1;RNF139",5,7,"RENAL CELL CARCINOMA, NONPAPILLARY"
"8",155601,"CDKN2B-AS1;GAS5;H19;LINC00032","CDKN2A",1,4,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 2"
"9",176807,"CDKN2B-AS1;C1QTNF9B-AS1;CBR3-AS1;GAS5;H19;IGF2-AS;LINC00963;MALAT1;MEG3;PCA3;PCAT1;PCGEM1;PVT1","MSR1;KLF6;ELAC2;MXI1;EPHB2;PTEN;HOXB13;RNASEL;CHEK2",9,13,"PROSTATE CANCER"
"10",188550,"PSORS1C3;PTCSC3","CCDC6;TRIM27;TPR;RET;TPM3;ERC1;PCM1;NCOA4;TFG;TRIM24;NTRK1;GOLGA5;TRIM33",13,2,"THYROID CARCINOMA, PAPILLARY"
"11",194070,"H19;WT1-AS","WT1",1,2,"WILMS TUMOR 1"
"12",211980,"ACTA2-AS1;BCYRN1;H19;HOTAIR;MALAT1;MEG3;TINCR;TUG1;UCA1","CASP8;EGFR;BRAF;ERBB2;TP53",5,9,"LUNG CANCER"
"13",254500,"DLEU2;GAS5;HOTAIR;MALAT1;PVT1;TUG1","CCND1;IRF4;FGFR3;IGHG1",4,6,"MYELOMA, MULTIPLE"
"14",256700,"CDKN2B-AS1;H19;MALAT1;MEG3;MYCNOS;SNHG16","KIF1B",1,6,"NEUROBLASTOMA, SUSCEPTIBILITY TO"
"15",259500,"TUSC7;MALAT1","RB1;CHEK2",2,2,"OSTEOGENIC SARCOMA"
"16",260350,"HOTAIR;MALAT1;PVT1","SMAD4",1,3,"PANCREATIC CANCER"
"17",268210,"HOTAIR;RMST",NA,0,2,"RHABDOMYOSARCOMA 1"
"18",268220,"HOTAIR;RMST","PAX7;PAX3;FOXO1",3,2,"RHABDOMYOSARCOMA 2"
"19",273300,"BOK-AS1;H19;TDRG1;XIST","STK11;FGFR3;KIT",3,4,"TESTICULAR GERM CELL TUMOR"
"20",601626,"H19;MEG3;WT1-AS","KRAS;PDGFRB;FLT3;JAK2;KIT;SETBP1;ETV6",7,3,"LEUKEMIA, ACUTE MYELOID"
"21",603956,"BCYRN1;H19;HOTAIR;MALAT1;TUSC8","FGFR3",1,5,"CERVICAL CANCER"
"22",607174,"H19;MEG3","MN1;SMARCE1",2,2,"MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO"
"23",608232,"H19;MEG3","BCR;SETBP1;ABL1",3,2,"LEUKEMIA, CHRONIC MYELOID"
"24",187300,"TTTY7;AC079610.2;LINC00336;RP11-277A4.4;CTD-2008L17.2;LINC01020;FAM66B;LINC01139;LINC01204;FLJ33581;HAR1B;AC005592.2;LEF1-AS1;AC007392.3;SNHG15;RP4-655J12.4;AC007743.1;SMIM2-IT1;ZEB1-AS1;TTLL11-IT1;AC093620.5;SNHG6;RP11-472K22.1;RP11-434D9.1;CTD-2193P3.2;RP11-371F15.3;RP11-933H2.4;RP4-798P15.3;RP11-736K20.5;RP11-1038A11.2;LINC00929;LINC00596","ENG",1,32,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER"
"25",600376,"TTTY7;AC079610.2;LINC00336;RP11-277A4.4;CTD-2008L17.2;LINC01020;FAM66B;LINC01139;LINC01204;FLJ33581;HAR1B;AC005592.2;LEF1-AS1;AC007392.3;SNHG15;RP4-655J12.4;AC007743.1;SMIM2-IT1;ZEB1-AS1;TTLL11-IT1;AC093620.5;SNHG6;RP11-472K22.1;RP11-434D9.1;CTD-2193P3.2;RP11-371F15.3;RP11-933H2.4;RP4-798P15.3;RP11-736K20.5;RP11-1038A11.2;LINC00596","ACVRL1",1,31,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2"
